LicenseNo,LastUpdate,BusinessName,BUS-NAME-2,FullBusinessName,MailingAddress,City,State,County,ZIPCode,country,BusinessPhone,BusinessType,IssueDate,ReissueDate,ExpirationDate,InactivationDate,ReactivationDate,PendingSuspension,PendingClassRemoval,PendingClassReplace,PrimaryStatus,SecondaryStatus,Classifications(s),AsbestosReg,WorkersCompCoverageType,WCInsuranceCompany,WCPolicyNumber,WCEffectiveDate,WCExpirationDate,WCCancellationDate,WCSuspendDate,CBSuretyCompany,CBNumber,CBEffectiveDate,CBCancellationDate,CBAmount,WBSuretyCompany,WBNumber,WBEffectiveDate,WBCancellationDate,WBAmount,DBSuretyCompany,DBNumber,DBEffectiveDate,DBCancellationDate,DBAmount,DateRequired,DiscpCaseRegion,DBBondReason,DBCaseNo,NAME-TP-2
1000004,04/21/2026,SOUTH COAST CONSTRUCTION & DEVELOPMENT,,,1270 S ALFRED ST #35190,LOS ANGELES,CA,Los Angeles,90035,,(818) 266 7487,Corporation,01/10/2015,04/20/2026,04/30/2028,,,,,,CLEAR,,B,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9242239, 12/04/2025, 12/04/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,101046945,04/20/2026,,25000,,,,,,,,,,,,,,,
1000125,08/20/2026,MURANO SHADES INC,,,1826 E 46TH ST,LOS ANGELES,CA,Los Angeles,90058,,(310) 210 0991,Corporation,01/13/2015,,01/31/2027,,,,,,CLEAR,,D52,,Workers' Compensation Insurance,TECHNOLOGY INSURANCE COMPANY INC, TWC4739306, 02/23/2026, 02/23/2027,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,101096604,08/08/2026,,25000,,,,,,,,,,,,,,,
1000203,10/23/2025,KO CHANG SOO,,CHANG SOO KO,1038 S FEDORA STAPT 1,LOS ANGELES,CA,Los Angeles,90006,,(213) 559 7169,Sole Owner,01/15/2015,,01/31/2027,,,,,,CLEAR,,C33,,Exempt,,, 12/12/2024,,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,101003166,10/09/2025,,25000,,,,,,,,,,,,,,,
1000372,07/09/2026,RELIANCE BUILDERS LLC,,,11500 W OLYMPIC BLVD STE 506,LOS ANGELES,CA,Los Angeles,90064,,(310) 498 3983,Limited Liability,01/20/2015,,01/31/2027,,,,,,CLEAR,,B,,"Leasing Firm, Temp Agency, etc",A I U INSURANCE COMPANY, WC051667687CA, 07/01/2026, 07/01/2027,,,ARCH INSURANCE COMPANY,SU71040610000,01/01/2023,,25000,PLATTE RIVER INSURANCE COMPANY,41360434,11/25/2016,,100000,,,,,,,,,,
1000388,07/24/2026,GO GREEN LANDSCAPE & DESIGN,,,935 NORTH AVENUE 65,LOS ANGELES,CA,Los Angeles,90042,,(323) 947 9982,Sole Owner,01/21/2015,,01/31/2027,,,,,,CLEAR,,C27,,Workers' Compensation Insurance,EMPLOYERS ASSURANCE COMPANY, EIG587602501, 03/24/2026, 03/24/2027,,,HUDSON INSURANCE COMPANY,30004116,01/01/2023,09/01/2026,25000,,,,,,,,,,,,,,,
1000468,10/01/2025,CYBERCOPY INC,,,2766 S LA CIENEGA BLVD,LOS ANGELES,CA,Los Angeles,90034,,(310) 736 1001,Corporation,01/22/2015,,01/31/2027,,,,,,CLEAR,,D42,,Workers' Compensation Insurance,INDEMNITY INSURANCE COMPANY OF NORTH AMERICA, C73916008, 10/01/2025, 10/01/2026,,,HARCO NATIONAL INSURANCE COMPANY,0627834,01/01/2023,,25000,,,,,,,,,,,,,,,
1000591,01/30/2025,ENGLE JOHN DAVID,,JOHN DAVID ENGLE,2823 WESTWOOD BLVD,LOS ANGELES,CA,Los Angeles,90064,,(310) 403 2866,Sole Owner,01/27/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/09/2025,,,,WESTERN SURETY COMPANY,67300524,01/01/2025,,25000,,,,,,,,,,,,,,,
1000607,11/17/2025,KRONE BUILDERS INC,,,2320 CONNOR AVENUE,LOS ANGELES,CA,Los Angeles,90040,,(323) 494 4703,Corporation,01/28/2015,,01/31/2027,,,,,,CLEAR,,B,,Exempt,,, 01/28/2025,,,,ATLANTIC SPECIALTY INSURANCE COMPANY,800213098,11/13/2025,,25000,,,,,,,,,,,,,,,
1000933,07/24/2026,CAPACITY ELECTRIC,,,7910 ANTWERP STREET,LOS ANGELES,CA,Los Angeles,90001,,(323) 629 2569,Sole Owner,02/07/2015,,02/28/2027,,,,,,CLEAR,,C10,,Workers' Compensation Insurance,CLEAR SPRING PROPERTY AND CASUALTY COMPANY, CWC01195203, 10/03/2025, 10/03/2026,,,HUDSON INSURANCE COMPANY,30016944,01/01/2023,09/01/2026,25000,,,,,,,,,,,,,,,
1001031,01/19/2026,LEYDEN COMPANY INC,,,1110 N VIRGIL AVE #91216,LOS ANGELES,CA,Los Angeles,90029,,(323) 544 7454,Corporation,02/10/2015,,02/28/2027,,,,,,CLEAR,,C-9| C33,,Workers' Compensation Insurance,PIE INSURANCE COMPANY (THE), WCPI3314974000, 12/21/2025, 12/21/2026,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100834966,02/09/2024,,25000,,,,,,,,,,,,,,,
1001064,04/17/2026,SERVICE MASTERS,MMALIYA INC,,P O BOX 111318,LOS ANGELES,CA,Los Angeles,90011,,(323) 992 0392,Corporation,02/11/2015,,02/28/2027,,,,,,CLEAR,,C20| C36,,Workers' Compensation Insurance,STATE COMPENSATION INSURANCE FUND, 9337969, 05/01/2023, 05/01/2027,,,AMERICAN CONTRACTORS INDEMNITY COMPANY,100263394,01/01/2023,,25000,,,,,,,,,,,,,,,Current Name
