code,name,lat,lon
90001,90001,33.974026,-118.24951
90002,90002,33.949099,-118.246737
90003,90003,33.964131,-118.272783
90004,90004,34.076198,-118.310722
90005,90005,34.059163,-118.306892
90006,90006,34.048041,-118.294177
90007,90007,34.028127,-118.28483
90008,90008,34.009552,-118.346724
90010,90010,34.062148,-118.315889
90011,90011,34.00709,-118.258681
90012,90012,34.065975,-118.238642
90013,90013,34.045405,-118.240454
90014,90014,34.043146,-118.251746
90015,90015,34.039378,-118.2663
90016,90016,34.028331,-118.354338
90017,90017,34.052913,-118.26434
90018,90018,34.028887,-118.317183
90019,90019,34.049841,-118.33846
90020,90020,34.066379,-118.30987
90021,90021,34.029036,-118.23787
90022,90022,34.023728,-118.156275
90023,90023,34.022502,-118.199613
90024,90024,34.065739,-118.435026
90025,90025,34.045421,-118.445873
90026,Silver Lake,34.080017,-118.262643
90027,90027,34.127603,-118.296381
90028,90028,34.099912,-118.326912
90029,90029,34.089848,-118.29466
90031,90031,34.084197,-118.208567
90032,90032,34.078294,-118.185785
90033,90033,34.05038,-118.211991
90034,90034,34.030578,-118.399613
90035,90035,34.051819,-118.383582
90036,90036,34.07041,-118.350411
90037,90037,34.002717,-118.287486
90038,90038,34.088475,-118.325527
90039,Atwater Village,34.111885,-118.261033
90040,90040,33.994523,-118.149952
90041,Eagle Rock,34.137412,-118.207607
90042,Highland Park,34.114708,-118.192098
90043,90043,33.988505,-118.336358
90044,90044,33.952725,-118.291904
90045,Westchester,33.942387,-118.416062
90046,90046,34.10781,-118.362247
90047,90047,33.953617,-118.308428
90048,90048,34.072925,-118.372711
90049,90049,34.09254,-118.491064
90056,90056,33.988047,-118.370361
90057,90057,34.061735,-118.276757
90058,90058,34.002844,-118.2164
90059,90059,33.926262,-118.249883
90061,90061,33.92128,-118.274186
90062,90062,34.003629,-118.308818
90063,90063,34.045105,-118.185914
90064,90064,34.037251,-118.423573
90065,Glassell Park,34.109595,-118.228689
90066,Mar Vista,34.002028,-118.430656
90067,90067,34.057597,-118.413998
