code,name,lat,lon
90026,Silver Lake,34.0781,-118.2606
90039,Atwater Village,34.1097,-118.2604
90041,Eagle Rock,34.1397,-118.2098
90042,Highland Park,34.1156,-118.1926
90045,Westchester,33.9578,-118.3872
90065,Glassell Park,34.1087,-118.2266
90066,Mar Vista,34.0028,-118.4297
90232,Culver City,34.0211,-118.3965
90280,South Gate,33.9447,-118.1958
90291,Venice,33.9925,-118.4617
90401,Santa Monica,34.0195,-118.4912
90638,La Mirada,33.9022,-118.0086
90650,Norwalk,33.9068,-118.0818
90717,Lomita,33.7926,-118.3164
90803,Belmont Shore,33.7593,-118.1287
91001,Altadena,34.1897,-118.1312
91103,Northwest Pasadena,34.1687,-118.1647
91104,Pasadena,34.1633,-118.1189
91205,Glendale,34.1362,-118.2551
91302,Calabasas,34.1256,-118.662
91344,Granada Hills,34.2832,-118.5037
91411,Van Nuys,34.1806,-118.4595
91506,Burbank,34.173,-118.3346
91607,Valley Village,34.1662,-118.3958
91801,Alhambra,34.0906,-118.127
